subscription_id,customer_id,amount_inr,failure_class,rule_fired,escalation,next_step,attempts_spent,attempts_preserved,mandate_status,mandate_valid_until,why
sub_SYN0033,cust_SYN1508,2499.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,revoked,2027-03-30,"stopped: MANDATE_REVOKED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0055,cust_SYN5806,2499.00,UNKNOWN,4,HUMAN_REVIEW,unclassifiable: a person reads the bank's own text,0,3,active,2026-10-16,human review: failure could not be classified by dict or model — refusing to spend an attempt on an unknown cause
sub_SYN0059,cust_SYN1546,2499.00,BANK_DOWNTIME,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,1,active,2027-08-28,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0061,cust_SYN5332,2499.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,active,2027-04-07,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0076,cust_SYN8147,2499.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-04-01,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0099,cust_SYN9882,2499.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-03-14,all available attempts spent without recovery
sub_SYN0012,cust_SYN2235,1299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2027-05-26,all available attempts spent without recovery
sub_SYN0015,cust_SYN9565,1299.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,revoked,2026-11-12,stopped: mandate is revoked despite a INSUFFICIENT_FUNDS failure — retry would be spent on a dead mandate
sub_SYN0017,cust_SYN5905,1299.00,MANDATE_EXPIRED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,expired,2026-07-30,"stopped: MANDATE_EXPIRED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0019,cust_SYN3426,1299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-09-20,all available attempts spent without recovery
sub_SYN0024,cust_SYN5920,1299.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,revoked,2027-09-07,stopped: mandate is revoked despite a INSUFFICIENT_FUNDS failure — retry would be spent on a dead mandate
sub_SYN0049,cust_SYN4681,1299.00,MANDATE_EXPIRED,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,expired,2026-07-28,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0051,cust_SYN3434,1299.00,MANDATE_EXPIRED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,expired,2026-07-17,"stopped: MANDATE_EXPIRED — no retry can succeed, 2 attempt(s) preserved"
sub_SYN0057,cust_SYN4263,1299.00,MANDATE_EXPIRED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,1,expired,2026-07-19,"stopped: MANDATE_EXPIRED — no retry can succeed, 1 attempt(s) preserved"
sub_SYN0062,cust_SYN5951,1299.00,BANK_DOWNTIME,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,active,2026-11-03,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0063,cust_SYN7797,1299.00,LIMIT_EXCEEDED,2,MANDATE_UPGRADE,above the mandate's cap: request an upgrade or split it,0,1,active,2027-09-23,"stopped: LIMIT_EXCEEDED — no retry can succeed, 1 attempt(s) preserved"
sub_SYN0065,cust_SYN4394,1299.00,LIMIT_EXCEEDED,2,MANDATE_UPGRADE,above the mandate's cap: request an upgrade or split it,0,1,active,2026-12-05,"stopped: LIMIT_EXCEEDED — no retry can succeed, 1 attempt(s) preserved"
sub_SYN0072,cust_SYN1430,1299.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,active,2027-01-25,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0080,cust_SYN5703,1299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2027-05-26,all available attempts spent without recovery
sub_SYN0085,cust_SYN7731,1299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,2,0,active,2027-01-02,all available attempts spent without recovery
sub_SYN0002,cust_SYN1750,799.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,1,revoked,2027-08-19,"stopped: MANDATE_REVOKED — no retry can succeed, 1 attempt(s) preserved"
sub_SYN0005,cust_SYN2796,799.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-06-19,all available attempts spent without recovery
sub_SYN0013,cust_SYN5345,799.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2026-11-01,all available attempts spent without recovery
sub_SYN0025,cust_SYN8043,799.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,2,0,active,2027-07-09,all available attempts spent without recovery
sub_SYN0028,cust_SYN8305,799.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2027-08-11,all available attempts spent without recovery
sub_SYN0030,cust_SYN7232,799.00,TECHNICAL_ERROR,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-04-19,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0032,cust_SYN6355,799.00,UNKNOWN,4,HUMAN_REVIEW,unclassifiable: a person reads the bank's own text,0,1,active,2027-02-12,human review: failure could not be classified by dict or model — refusing to spend an attempt on an unknown cause
sub_SYN0064,cust_SYN1992,799.00,LIMIT_EXCEEDED,2,MANDATE_UPGRADE,above the mandate's cap: request an upgrade or split it,0,3,active,2027-09-18,"stopped: LIMIT_EXCEEDED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0068,cust_SYN2076,799.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,2,0,active,2026-11-08,all available attempts spent without recovery
sub_SYN0069,cust_SYN8046,799.00,TECHNICAL_ERROR,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,active,2027-09-02,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0071,cust_SYN6119,799.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,revoked,2027-05-06,"stopped: MANDATE_REVOKED — no retry can succeed, 2 attempt(s) preserved"
sub_SYN0021,cust_SYN7267,499.00,UNKNOWN,4,HUMAN_REVIEW,unclassifiable: a person reads the bank's own text,0,1,active,2027-02-06,human review: failure could not be classified by dict or model — refusing to spend an attempt on an unknown cause
sub_SYN0043,cust_SYN8699,499.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,active,2026-11-09,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0050,cust_SYN4122,499.00,LIMIT_EXCEEDED,2,MANDATE_UPGRADE,above the mandate's cap: request an upgrade or split it,0,2,active,2027-02-03,"stopped: LIMIT_EXCEEDED — no retry can succeed, 2 attempt(s) preserved"
sub_SYN0053,cust_SYN7717,499.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-06-28,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0070,cust_SYN2527,499.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,1,revoked,2026-12-19,"stopped: MANDATE_REVOKED — no retry can succeed, 1 attempt(s) preserved"
sub_SYN0075,cust_SYN3248,499.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2026-10-30,all available attempts spent without recovery
sub_SYN0082,cust_SYN2079,499.00,TECHNICAL_ERROR,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,2,0,active,2027-08-04,all available attempts spent without recovery
sub_SYN0092,cust_SYN3185,499.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,revoked,2027-02-02,stopped: mandate is revoked despite a INSUFFICIENT_FUNDS failure — retry would be spent on a dead mandate
sub_SYN0010,cust_SYN6413,299.00,INSUFFICIENT_FUNDS,5,MANDATE_UPGRADE,above the mandate's cap: request an upgrade or split it,0,3,active,2026-11-01,human review: amount ₹299.00 exceeds the mandate cap ₹209.30 — needs a fresh mandate
sub_SYN0018,cust_SYN2512,299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2027-02-14,all available attempts spent without recovery
sub_SYN0029,cust_SYN2320,299.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,3,active,2027-01-30,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
sub_SYN0031,cust_SYN7624,299.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,1,revoked,2027-05-13,"stopped: MANDATE_REVOKED — no retry can succeed, 1 attempt(s) preserved"
sub_SYN0073,cust_SYN4524,299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2026-12-13,all available attempts spent without recovery
sub_SYN0078,cust_SYN6724,299.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-06-20,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0083,cust_SYN6072,299.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,2,0,active,2027-09-06,all available attempts spent without recovery
sub_SYN0088,cust_SYN7126,299.00,MANDATE_PAUSED,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,paused,2026-10-15,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0091,cust_SYN9914,299.00,TECHNICAL_ERROR,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-06-27,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0097,cust_SYN7095,299.00,LIMIT_EXCEEDED,2,MANDATE_UPGRADE,above the mandate's cap: request an upgrade or split it,0,3,active,2026-10-18,"stopped: LIMIT_EXCEEDED — no retry can succeed, 3 attempt(s) preserved"
sub_SYN0004,cust_SYN7482,199.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,revoked,2027-07-19,stopped: mandate is revoked despite a INSUFFICIENT_FUNDS failure — retry would be spent on a dead mandate
sub_SYN0014,cust_SYN3579,199.00,INSUFFICIENT_FUNDS,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,revoked,2027-07-28,stopped: mandate is revoked despite a INSUFFICIENT_FUNDS failure — retry would be spent on a dead mandate
sub_SYN0036,cust_SYN5425,199.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-05-25,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0037,cust_SYN6325,199.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-05-27,all available attempts spent without recovery
sub_SYN0038,cust_SYN8342,199.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-02-02,all available attempts spent without recovery
sub_SYN0041,cust_SYN2869,199.00,UNKNOWN,4,HUMAN_REVIEW,unclassifiable: a person reads the bank's own text,0,3,active,2027-01-04,human review: failure could not be classified by dict or model — refusing to spend an attempt on an unknown cause
sub_SYN0048,cust_SYN5375,199.00,INSUFFICIENT_FUNDS,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,active,2027-06-14,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0084,cust_SYN8967,199.00,MANDATE_REVOKED,1,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,0,0,revoked,2027-01-19,stopped: retry budget exhausted (3/3) — a further attempt would halt the subscription
sub_SYN0093,cust_SYN6170,199.00,MANDATE_REVOKED,2,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,revoked,2027-01-13,"stopped: MANDATE_REVOKED — no retry can succeed, 2 attempt(s) preserved"
sub_SYN0095,cust_SYN2311,199.00,INSUFFICIENT_FUNDS,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,3,0,active,2027-01-02,all available attempts spent without recovery
sub_SYN0096,cust_SYN6952,199.00,BANK_DOWNTIME,8,WINBACK_CAMPAIGN,budget exhausted: fresh invoice + winback nudge,1,0,active,2027-08-25,all available attempts spent without recovery
sub_SYN0098,cust_SYN8311,199.00,BANK_DOWNTIME,3,RE_MANDATE_LINK,mandate dead: send a new mandate registration link,0,2,active,2027-04-18,stopped at execution: mandate revoked after the decision was made — attempt preserved by the pre-flight re-check
